date,daily_num_reviews,daily_avg_rating
2018-02-26,8,4.5
2018-02-27,1,4.0
2018-02-28,1,4.0
2018-03-01,1,5.0
2018-03-02,3,3.0
2018-03-03,4,4.25
2018-03-04,1,4.0
2018-03-05,7,3.43
2018-03-06,4,5.0
2018-03-08,2,4.5
2018-03-09,1,5.0
2018-03-10,1,5.0
2018-03-11,2,4.5
2018-03-14,2,3.5
2018-03-16,2,5.0
2018-03-17,2,3.5
2018-03-20,1,1.0
2018-03-21,1,4.0
2018-03-23,3,4.0
2018-03-26,1,5.0
2018-03-27,3,5.0
2018-03-28,1,5.0
2018-03-29,3,4.0
2018-03-30,2,5.0
2018-04-03,1,4.0
2018-04-04,2,3.0
2018-04-06,1,5.0
2018-04-07,1,4.0
2018-04-09,3,4.67
2018-04-10,1,5.0
2018-04-11,2,4.5
2018-04-12,1,3.0
2018-04-14,2,3.0
2018-04-16,2,5.0
2018-04-18,1,3.0
2018-04-19,2,4.5
2018-04-22,1,3.0
2018-04-23,1,5.0
2018-04-24,1,5.0
2018-04-25,1,4.0
2018-04-26,1,5.0
2018-04-27,1,5.0
2018-04-28,1,4.0
2018-04-30,1,5.0
2018-05-02,1,5.0
2018-05-04,1,4.0
2018-05-09,1,3.0
2018-05-10,2,4.5
2018-05-14,2,4.0
2018-05-15,1,5.0
2018-05-18,3,4.67
2018-05-21,1,3.0
2018-05-22,2,3.5
2018-05-25,1,5.0
2018-05-26,1,5.0
2018-05-29,1,2.0
2018-05-30,1,4.0
2018-06-01,1,5.0
2018-06-03,1,5.0
2018-06-05,2,5.0
2018-06-07,48,4.92
2018-06-08,12,3.67
2018-06-09,8,4.25
2018-06-10,6,2.67
2018-06-11,5,4.0
2018-06-12,5,4.0
2018-06-13,4,2.25
2018-06-14,4,3.0
2018-06-16,1,1.0
2018-06-17,4,5.0
2018-06-18,1,5.0
2018-06-19,3,5.0
2018-06-20,1,4.0
2018-06-22,1,3.0
2018-06-23,2,3.5
2018-06-24,1,1.0
2018-06-25,1,5.0
2018-06-26,4,3.75
2018-06-28,4,4.0
2018-06-29,1,5.0
2018-06-30,1,5.0
2018-07-01,3,4.67
2018-07-02,1,5.0
2018-07-03,2,4.5
2018-07-04,5,3.0
2018-07-05,4,4.0
2018-07-06,2,3.0
2018-07-07,4,2.5
2018-07-08,1,5.0
2018-07-09,1,4.0
2018-07-10,3,2.67
2018-07-12,2,5.0
2018-07-13,7,4.0
2018-07-14,2,5.0
2018-07-17,2,5.0
2018-07-18,2,5.0
2018-07-19,2,5.0
2018-07-20,2,5.0
2018-07-21,3,4.67
2018-07-22,1,5.0
2018-07-23,4,4.25
2018-07-24,3,5.0
2018-07-25,1,5.0
2018-07-27,3,5.0
2018-07-30,6,4.33
2018-07-31,2,5.0
2018-08-01,7,4.0
2018-08-02,4,3.75
2018-08-03,2,5.0
2018-08-04,3,5.0
2018-08-06,3,4.33
2018-08-07,3,4.33
2018-08-08,3,4.33
2018-08-09,1,2.0
2018-08-10,1,4.0
2018-08-12,3,4.0
2018-08-13,4,4.75
2018-08-14,3,4.0
2018-08-16,1,3.0
2018-08-17,1,5.0
2018-08-18,3,3.33
2018-08-19,3,4.33
2018-08-20,3,5.0
2018-08-21,2,4.5
2018-08-22,3,3.0
2018-08-23,2,4.0
2018-08-24,1,5.0
2018-08-25,2,3.0
2018-08-26,1,5.0
2018-08-27,1,5.0
2018-08-28,1,5.0
2018-08-29,3,2.67
2018-08-30,5,5.0
2018-08-31,2,5.0
2018-09-02,3,5.0
2018-09-03,3,5.0
2018-09-05,1,5.0
2018-09-06,2,2.5
2018-09-07,1,5.0
2018-09-08,4,4.5
2018-09-09,2,3.5
2018-09-10,1,5.0
2018-09-11,2,3.0
2018-09-12,6,4.67
2018-09-13,1,1.0
2018-09-14,2,4.5
2018-09-15,2,3.5
2018-09-16,4,3.5
2018-09-17,4,4.5
2018-09-18,3,4.67
2018-09-19,3,4.33
2018-09-20,3,4.33
2018-09-21,5,4.4
2018-09-22,3,2.67
2018-09-23,3,5.0
2018-09-24,2,5.0
2018-09-25,3,4.67
2018-09-26,3,4.67
2018-09-27,5,5.0
2018-09-28,1,4.0
2018-09-29,2,3.5
2018-09-30,1,5.0
2018-10-01,2,3.0
2018-10-02,5,3.8
2018-10-03,2,5.0
2018-10-05,2,4.5
2018-10-06,3,4.33
2018-10-07,3,4.0
2018-10-08,3,5.0
2018-10-09,5,4.0
2018-10-10,2,4.5
2018-10-11,4,4.75
2018-10-12,2,5.0
2018-10-14,3,4.67
2018-10-15,3,3.33
2018-10-16,2,4.0
2018-10-17,4,4.75
2018-10-18,2,5.0
2018-10-19,5,5.0
2018-10-20,2,4.5
2018-10-21,1,5.0
2018-10-22,5,5.0
2018-10-23,2,5.0
2018-10-24,1,5.0
2018-10-25,3,4.33
2018-10-26,2,4.0
2018-10-27,5,4.4
2018-10-28,4,3.5
2018-10-29,4,4.75
2018-10-30,3,5.0
2018-10-31,5,5.0
